SKY 33.7757 -117.1071 774.0
SLB 33.4852 -115.8664 0.0
SLR 33.8336 -116.7974 1567.0
SME 33.8229 -117.3562 466.0
SMER 33.4577 -117.1708 355.0
SND 33.5519 -116.6129 1358.0
SNO 34.0352 -116.8078 2339.0
SOL 32.8410 -117.2480 245.0
SS2 34.2073 -117.5004 1574.0
SSW 33.1775 -115.6156 -64.0
SUN 34.2105 -117.6939 1652.0
SVD 34.1065 -117.0982 605.0
SWS 32.9451 -115.7999 140.0
TA2 34.3820 -117.6782 2249.0
TAB 34.3824 -117.6819 2274.0
THM 33.6507 -116.0773 60.0
THX 33.6349 -116.1640 -31.0
TOR 33.5753 -116.2258 4.0
TPC 34.1056 -116.0494 686.0
TPM 34.3627 -116.0820 1049.0
TRO 33.5234 -116.4257 2628.0
USG 32.7859 -115.8495 0.0
WAGN 32.6914 -115.9289 0.1
WES 32.7590 -115.7316 -8.0
WI2 33.2761 -115.5815 -97.0
WIN 33.6830 -117.1037 600.0
WLA 33.0976 -115.5306 -61.5
WMC 33.5736 -116.6747 1271.0
WWC 33.9407 -116.4088 619.0
YAQ 33.1666 -116.3539 430.0
YOU 33.1330 -115.6060 -64.0
YUH 32.6473 -115.9225 158.0
